genspcode,gencode,spcode,lsspnum,genus,species,author,family,Synonymy_and_name_history,nativeexotic,forma,wooddens,wooddenstaxlevel,wooddenssource,,,,
PROTGLAB,PROT,GLAB,LS002361,Protium,glabrum,(Rose) Engl.,Burseraceae,???P. ravenii now? Need to confirm.,Nativa,A,0.566,Genus,Mex&C&SAmerTrop,Aguilar 7609- now ravenii?,G.S.Hartshorn 1774 - Herb. Nac. CR; LS specimen - now ravenii?,,"often simple lvs., lflets very rounded; ELONGATE FR; tree leaks white liquid when scraped."
PROTPANA,PROT,PANA,LS000883,Protium,panamense,(Rose) I.M. Johnst.,Burseraceae,,Nativa,A,0.433,Species,LaSelva-MullerLandau,B. Hammel 11108,B. Jacobs 2148 - Herb. Nac. CR; LS specimen,,"lf base acute, visible tertiaries, yellow mid-vein below; margin often toothed; pulvini; stilt roots usual"
PROTPITT,PROT,PITT,LS000884,Protium,pittieri,(Rose) Engl.,Burseraceae,Sin. Tetragastris tomentosa D. M. Porter,Nativa,A,0.475,Species,LaSelva-MullerLandau,Aguilar 7610,James Folsom 10078 - Herb.Nac. CR; LS specimen,,"stout petiolules, woody raquis; fine visible tertiaries; main vein below pinkish; nearly flat leaf base"
PROTRAVE,PROT,RAVE,LS002324,Protium,ravenii,D.M. Porter,Burseraceae,Hist. Tax. Protium  glabrum  - ??? Just some of them?,Nativa,A,0.566,Genus,Mex&C&SAmerTrop,O. Vargas 1309,,,
PSEUSPUR,PSEU,SPUR,LS001435,Pseudolmedia,spuria,(Sw.) Griseb.,Moraceae,,Nativa,A,0.75,Species,Guatemala,Aguilar 8339,,,
PSYC1103,PSYC,1103,,Psychotria,,,Rubiaceae,,,A,0.563,Genus,Mex&SAmerTrop,,,,1 stem
PSYC1169,PSYC,1169,,Psychotria,,,Rubiaceae,,,A,0.563,Genus,Mex&SAmerTrop,,,,3 stems
PSYCBUCH,PSYC,BUCH,LS001672,Psychotria,buchtienii,Standl.,Rubiaceae,Hist. Tax. Psychotria officinalis - ?? Best guess on species - verify in field in 2013,Nativa,A,0.563,Genus,Mex&SAmerTrop,G. Hartshorn 1521,,,
PSYCCALI,PSYC,CALI,LS001659,Psychotria,calidicola,C. M. Taylor,Rubiaceae,Hist. Tax. Psychotria eurycarpa,Nativa,A,0.563,Genus,Mex&SAmerTrop,Aguilar 7598,,,
PSYCELAT,PSYC,ELAT,LS001656,Psychotria,elata,(Sw.) Hammel,Rubiaceae,Sin. Cephaelis elata Sw.,Nativa,A,0.563,Genus,Mex&SAmerTrop,Hammel 8187,,,
PSYCLUXU,PSYC,LUXU,LS001668,Psychotria,luxurians,Rusby,Rubiaceae,,Nativa,A,0.563,Genus,Mex&SAmerTrop,Hammel 8295,,,
PSYCPANA,PSYC,PANA,LS001674,Psychotria,panamensis,Standl.,Rubiaceae,Sin. Psychotria grandistipula Merr.,Nativa,A,0.563,Genus,Mex&SAmerTrop,Aguilar 8209,,,
PSYCSP,PSYC,SP,,Psychotria,,,Rubiaceae,,,A,0.563,Genus,Mex&SAmerTrop,,,,
PSYCSUER,PSYC,SUER,LS001682,Psychotria,suerrensis,Donn. Sm.,Rubiaceae,,Native,A,0.563,Genus,Mex&SAmerTrop,Aguilar 7607,,,Clark1178 id'd by JG/OV June13
PTERHAYE,PTER,HAYE,LS001142,Pterocarpus,hayesii,Hemsl.,Fabaceae,Hist. Tax Pterocarpus rohrii  - ??? CARBONO? - delete if none in 2013 census,Nativa,A,0.471,Genus,C&SAmerTrop,Aguilar 8069,,,
PTEROFFI,PTER,OFFI,LS001143,Pterocarpus,officinalis,Jacq.,Fabaceae,,Nativa,A,0.419,Species,LaSelva-MullerLandau,B. Hammel 12842,,,MV
PTERSP.A,PTER,SP.A,LS001144,Pterocarpus,sp. A,?,Fabaceae,"Hist. Tax P. hayesii, P. rohrii  - all need to be verified in field in 2013 (paleta?)",Nativa,A,0.383,Species,LaSelva-MullerLandau,Hammel 8822,,,
QUARBRAC,QUAR,BRAC,LS000860,Quararibea,bracteolosa,(Ducke) K. Schum.,Malvaceae,Sin. Matisia bracteolosa Ducke,Nativa,A,0.492,Genus,C&SAmerTrop,Aguilar 7943,GS Hartshorn 1504; Herb. Nac. CR,,only Quar covered with pubescence and with big hiatus to second set of secondaries
QUAROCHR,QUAR,OCHR,LS000862,Quararibea,ochrocalyx,(K. Schum.) Vischer,Malvaceae,Sin. Matisia ochrocalyx K. Schum.,Nativa,A,0.492,Genus,C&SAmerTrop,Aguilar 8219,Damon Smith 521; Herb. Nac. CR,,"not pubesc.;medium-big lvs, no hiatus to second pr of secondaries"
QUARPARV,QUAR,PARV,LS000863,Quararibea,parvifolia,Standl.,Malvaceae,,Nativa,A,0.492,Genus,C&SAmerTrop,Hammel 8603,G.S. Hartshorn 1440; Herb. Nac. CR; Magsasay spec.,,"MV; quite small leaves, pointy; only ca. 4 prs of secondaries, evenly spaced"
QUARPUMI,QUAR,PUMI,LS000864,Quararibea,pumila,W. S. Alverson,Malvaceae,,Nativa,A,0.492,Genus,C&SAmerTrop,Aguilar 7721,,,
QUIIMACR,QUII,MACR,LS001592,Quiina,macrophylla,Tul.,Ochnaceae,Sin. Quina schippii Standl.,Nativa,A,0.862,Genus,SAmerTrop,Grayum 2879,,,
RANDMIRA,RAND,MIRA,LS001687,Randia,mira,Dwyer,Rubiaceae,,Nativa,A,0.75,Genus,Mexico&SAmerTrop,O. Vargas  1361,,,Clark1203 id'd by JG/OV June13; was in data originally as RAND MICR
RAUVPURP,RAUV,PURP,LS000754,Rauvolfia,purpurascens,Standl.,Apocynaceae,,Nativa,A,0.476,Species,LaSelva-MullerLandau,Aguilar 7887,M.Grayum 1283 - Herb.Nac. CR; LS specimen,,"whorled leaves, sap"
RHODKUNT,RHOD,KUNT,LS001250,Rhodostemonodaphne,kunthiana,(Nees) Rohwer,Lauraceae,"Sin. Nectandra kunthiana (Nees) Kosterm., Sin. Ocotea cooperi C. K. Allen",Nativa,A,0.395,Genus,SAmerTrop,Aguilar 7588,,,MV#478
RICHDRES,RICH,OBOV,LS001044,Richeria,dressleri,G.L. Webster,Phyllanthaceae,Hist. Tax. Richeria obovata,Nativa,A,0.577,Genus,SAmerTrop,Aguilar 8116,,,
RINODEFL,RINO,DEFL,LS001851,Rinorea,deflexiflora,Bartlett,Violaceae,,Nativa,A,0.596,Species,LaSelva-King&MullerLandau,Hammel 10721,,,
ROURSUER,ROUR,SUER,LS000948,Rourea,suerrensis,Donn. Sm.,Connaraceae,,Nativa,L,,,,Hammel 9499,,,"Clark1221, id'd by JG/OV June13; to go to LS herbarium (fertile, rare); 1 stem"
RYANSPEC,RYAN,SPEC,LS001164,Ryania,speciosa,Vahl,Salicaceae,,Nativa,A,,,,G. Hartshorn 1161,B.Jacobs & D.Smith 2567 - Herb. Nac. CR; LS specimen,,lf nearly sessile; finely crenate; many parallel secondaries; about size of Minq lf
SACOTRIC,SACO,TRIC,LS001206,Sacoglottis,trichogyna,Cuatrec.,Humiriaceae,,Nativa,A,0.805,Genus,SAmerTrop,Aguilar 8091,,,
SAPIGLAN,SAPI,GLAN,LS001046,Sapium,glandulosum,(L.) Morong,Euphorbiaceae,"Sin. Sapium aucuparium Jacq., Sapium jamaicense Sw., Sapium oligoneurum K. Schum. & Pittier",Nativa,A,0.415,Species,SAmerTrop,Hammel 10947,,,MV; note from MV - we need to resolve the id of both of our collected Sapium spp.
SAPILAUR,SAPI,LAUR,LS001047,Sapium,laurifolium,(A. Rich.) Griseb.,Euphorbiaceae,"Sin. Sapium pleiostachys K. Schum. & Pittier, Hist. Tax. Sapium aucuparium",Nativa,A,0.419,Genus,Mex&C&SAmerTrop,B. Hammel 11082,,,MV; note from MV - we need to resolve the id of both of our collected Sapium spp.
SAPOSP,SAPO,SP,,,,,Sapotaceae,,,,,,,,,,"MV584; in 2003 file listed as gen code ""DIPH"""
SAPRVIRI,SAPR,VIRI,LS000726,Sapranthus,viridiflorus,G. E. Schatz,Annonaceae,,Nativa,A,0.63,Genus,CostaRica-Malavass,Aguilar 8000,,,
SIMAAMAR,SIMA,AMAR,LS001761,Simarouba,amara,Aubl.,Simaroubaceae,,Nativa,A,0.423,Species,CostaRica-Malavass&WiemWilli,O. Vargas  679,,2,
SIMPSP,SIMP,SP,,,,,,???? - what genus?? - check in field in 2013,,,,,,,,,1 stem
SIPACUSP,SIPA,CUSP,LS001402,Siparuna,cuspidata,(Tul.) A. DC.,Siparunaceae,Hist. Tax. Siparuna guianensis,Nativa,A,0.655,Species,SAmerTrop,Hartshorn 2249,,,
SIPAGRAN,SIPA,GRAN,LS001403,Siparuna,grandiflora,(Kunth) Perkins,Siparunaceae,Sin. Siparuna tonduziana Perkins,Nativa,A,0.656,Genus,SAmerTrop,Hammel 8070,,,
SIPAPAUC,SIPA,PAUC,LS001404,Siparuna,pauciflora,(Beurl.) A. DC.,Siparunaceae,,Nativa,A,0.656,Genus,SAmerTrop,Aguilar 7924,,,
SIPATHEC,SIPA,THEC,LS001405,Siparuna,thecaphora,(Poepp. & Endl.) A. DC.,Siparunaceae,"Sin. Siparuna andina Tul., Sin. Siparuna macra Standl., Sin. Siparuna nicaraguensis Hemsl.",Nativa,A,0.656,Genus,SAmerTrop,Hammel 8196,,,
SLOAGENI,SLOA,GENI,LS000989,Sloanea,geniculata,Dam. A. Sm.,Elaeocarpaceae,Hist. Tax. Sloanea faginea Standl.,Nativa,A,0.8,Genus,Mex&SAmerTrop,Aguilar 8016,G.S.Hartshorn 1290-Herb.Nac. CR; LS specimen,,"teeth, prominent parallel tertiaries, huge bracts at twig end"
SLOAGUIA,SLOA,GUIA,LS000990,Sloanea,guianensis,(Aubl.) Benth.,Elaeocarpaceae,Hist. Tax. Sloanea meianthera Donn. Sm.,Nativa,A,0.821,Species,SAmerTrop,B. Hammel 12921,,,
SLOALAEV,SLOA,LAEV,LS000991,Sloanea,laevigata,Dam. A. Sm.,Elaeocarpaceae,Hist. Tax. Sloanea latifolia (Rich.) K. Schum.,Nativa,A,0.8,Genus,Mex&SAmerTrop,Hammel 11654,,,
SLOAMEDU,SLOA,MEDU,LS000992,Sloanea,medusula,K. Schum. & Pittier,Elaeocarpaceae,,Nativa,A,0.8,Genus,Mex&SAmerTrop,Aguilar 8199,"L.J. Poveda, L.R.Holdridge, & G.S.Hartshorn s.n.-Herb.Nac.CR; LS specimen",,"huge leaf with teeth at vein ends, pubescent, huge stipules - look like small leaves"
SLOARUGO,SLOA,RUGO,LS000993,Sloanea,rugosa,Dam. A. Sm.,Elaeocarpaceae,,Nativa,A,0.8,Genus,Mex&SAmerTrop,D. Smith 1224,,,MV
SOCREXOR,SOCR,EXOR,LS000321,Socratea,exorrhiza,(Mart.) H. Wendl.,Arecaceae,Sin. Socratea durissima (Oerst.) H. Wendl.,Nativa,P,0.23,Species,LaSelva-Rich,Aguilar 7719,,,
SOLACIRC,SOLA,CIRC,LS001779,Solanum,circinatum,Bohs,Solanaceae,Sin. Cyphomandra hartwegii (Miers) Dunal,Nativa,A,0.28,Genus,SAmerTrop,Aguilar 7679,,,
SOLAROVI,SOLA,ROVI,LS001783,Solanum,rovirosanum,Donn. Sm.,Solanaceae,,Nativa,A,0.28,Genus,SAmerTrop,J. González 6958,,,Clark1130 id'd by JG/OV June13
SOROPUBI,SORO,PUBI,LS001436,Sorocea,pubivena,Hemsl.,Moraceae,,Nativa,A,0.578,Genus,SAmerTrop,Aguilar 7611,,,
SPACCORR,SPAC,CORR,LS001282,Spachea,correae,Cuatrec. & Croat,Malpighiaceae,,Nativa,A,0.595,Genus,SAmerTrop,O. Vargas  1306,,,
SPONRADL,SPON,RADL,LS000710,Spondias,radlkoferi,Donn. Sm.,Anacardiaceae,,Nativa,A,0.31,Species,LaSelva-MullerLandau,Hammel 10497,Ulises Chavarria 1000; Herb. Nac. CR,,MV
STERRECO,STER,RECO,LS001795,Sterculia,recordiana,Standl.,Malvaceae,Hist. Tax. Sterculia costaricana,Nativa,A,0.43,Species,CostaRica-Malavass,Hammel 8425,,,
STRYMICR,STRY,MICR,LS001098,Stryphnodendron,microstachyum,Poepp. & Endl,Fabaceae,Sin. Stryphnodendron excelsum Harms,Nativa,A,0.47,Species,LaSelva-MullerLandau,Hammel 10498,,,
SWARNICA,SWAR,NICA,LS001145,Swartzia,nicaraguensis,(Britton & P. Wilson) Standl.,Fabaceae,Hist. Tax. Swartzia cubensis,Nativa,A,0.835,Genus,Mex&SAmerTrop,Hartshorn 1510,,,
SWAROCHN,SWAR,OCHN,LS001146,Swartzia,ochnacea,DC.,Fabaceae,Hist. Tax. Swartzia simplex,Nativa,A,0.835,Genus,Mex&SAmerTrop,D. Solano 1154,,,
SYMPGLOB,SYMP,GLOB,LS000938,Symphonia,globulifera,L. f.,Clusiaceae,,Nativa,A,0.56,Species,CostaRica-Malavass,Aguilar 7649,,,
SYMPSTRI,SYMP,STRI,LS001800,Symplocos,striata,Kriebel & N. Zamora,Symplocaceae,"Hist. Tax. S. panamensis, S. austin-smithii",Nativa,A,0.49,Genus,SAmerTrop,"Hartshorn 1599, Hammel 9255",,,
SYNEWARS,SYNE,WARS,LS000323,Synechanthus,warscewiczianus,H. Wendl.,Arecaceae,,Nativa,P,,,,Aguilar 8270,,,no wood density; Clark1131 id'd by JG/OV June13
TABEARBO,TABE,ARBO,LS000748,Tabernaemontana,arborea,Rose,Apocynaceae,Sin. Peschiera arborea (Rose) Markgr.,Nativa,A,0.469,Genus,SAmerTrop,Hammel 11543,"Isidro Chacon 541 - Herb. Nac. CR; LS spec., SOR840",,
TABEDONN,TABE,DONN,LS000756,Tabernaemontana,donnell-smithii,Rose,Apocynaceae,Sin. Stemmadenia donnell-smithii (Rose) Woodson,Nativa,A,0.469,Genus,SAmerTrop,Aguilar 7787,Tim McDowell 946; Herb. Nac. CR (prob. LS spec.),,MV
TACHCOST,TACH,COST,LS001058,Tachigali,costaricensis,(N. Zamora & Poveda) N. Zamora & van der Werff,Fabaceae,Sin. Sclerolobium costaricense N. Zamora & Poveda,Nativa,A,0.525,Genus,SAmerTrop,B. Hammel 10106,,,
TAPIGUIA,TAPI,GUIA,LS002277,Tapirira,guianensis,Aubl.,Anacardiaceae,"Sin. Tapirira myriantha Triana & Planch., Hist. Tax. Trichilia moritzii",Nativa,A,0.457,Species,SAmerTrop,O. Vargas  1268,BEH 11085-Herb.Nac.CR; LS specimen,,
TERMAMAZ,TERM,AMAZ,LS000944,Terminalia,amazonia,(J. F. Gmel.) Exell,Combretaceae,,Nativa,A,0.68,Species,CostaRica-Malavass,Aguilar 8292,E.Chaves S. 181-Herb.Nac. CR,,"med-sm lvs., tips rounded to pointy, lvs all wider past middle; lf almost sessile; tiny golden fruits"
TERMBUCI,TERM,BUCI,LS000945,Terminalia,bucidoides,Standl. & L. 0. Williams,Combretaceae,,Nativa,A,0.678,Genus,C&SAmerTrop,Hartshorn 1769,G.S. Hartshorn 1769; Herb. Nac. CR,,"MV; lvs. obovate ca. leathery, lopsided tip,  very long petioles, fruits silver-tan, 2-4 cm wide, central ridge"
TERMOBLO,TERM,OBLO,LS000946,Terminalia,oblonga,(Ruiz & Pav.) Steud.,Combretaceae,Sin. Terminalia lucida Pittier,Nativa,A,0.675,Species,CAmerTrop,Aguilar 7632,G.S.Hartshorn 1827; Herb. Nac. CR,,"MV; petiole 1.5-2 cm, lf obovate, fr.s golden, bigger than bucidoides"
TETREURY,TETR,EURY,LS001048,Tetrorchidium,euryphyllum,Standl.,Euphorbiaceae,,Nativa,A,0.47,Genus,Mexico,Hammel 11251,,,
TETRPANA,TETR,PANA,LS000885,Tetragastris,panamensis,(Engler) 0. Ktze.,Burseraceae,,Nativa,A,0.717,Genus,C&SAmerTrop,Hammel 11108,B.Hammel & G. de Nevers 15334 - Herb. Nac. CR; LS specimen,,"looks like Protium panamense, but lflets ca. sessile, and >7 lflets.  Lfllet bases very asymmetric."
TETRROBL,TETR,ROBL,LS001049,Tetrorchidium,robledoanum,Cuatrec.,Euphorbiaceae,Sin. Tetrorchidium gorgonae Croizat,Nativa,A,0.47,Genus,Mexico,Hammel 8000,,,Clark1235 id'd by JG/OV June13
TETRSP,TETR,SP,,,,,,1 stem; Tetrorchidium? Tetragastris? Something else?,,A,,,,,,,1 stem; Tetrorchidium? Tetragastris? Something else?
THEOMAMM,THEO,MAMM,LS001797,Theobroma,mammosum,Cuatrec. & Jorge León,Malvaceae,,Nativa,A,0.574,Genus,SAmerTrop,O. Vargas  1308,,,
THEOSIMI,THEO,SIMI,LS001798,Theobroma,simiarum,Donn. Sm.,Malvaceae,,Nativa,A,0.574,Genus,SAmerTrop,Aguilar 7883,,,
TREMINTE,TREM,INTE,LS001813,Trema,integerrima,(Beurl.) Standl.,Cannabaceae,,Nativa,A,0.3,Species,SAmerTrop,Grayum 2877,,,MV
TRICSEPT,TRIC,SEPT,LS001392,Trichilia,septentrionalis,C. DC.,Meliaceae,"Sin. Trichilia moritzii C. DC., Sin. Trichilia polyneura C. DC.",Nativa,A,0.65,Genus,Mex&C&SAmerTrop,Hammel & Trainer 10807,,,
TROPINVO,TROP,INVO,LS001438,Trophis,involucrata,W. C. Burger,Moraceae,,Nativa,A,0.586,Genus,Mex&C&SAmerTrop,Aguilar 7618,,,
UNONHAMM,UNON,HAMM,LS000727,Unonopsis,hammelii,G. E. Schatz & Maas,Annonaceae,,Nativa,A,0.54,Genus,C&SAmerTrop,Hammel 9423,,,
UNONPITT,UNON,PITT,LS000728,Unonopsis,pittieri,Saff.,Annonaceae,Sin. Unonopsis schippii R. E. Fr.,Nativa,A,0.368,Species,LaSelva-MullerLandau,Hammel 10592,G.E.Schatz 994 - Herb. Nac. CR,,
UNONSP.A,UNON,SP.A,LS002384,Unonopsis,sp. A,?,Annonaceae,"Unonopsis -sp. 3  [recolectada por los Clark]; a 3rd species, NZ thinks undescribed",Nativa,A,0.54,Genus,C&SAmerTrop,,,,MV
VIROKOSC,VIRO,KOSC,LS001443,Virola,koschnyi,Warb.,Myristicaceae,,Nativa,A,0.426,Species,LaSelva-MullerLandau,Aguilar 7600,,,
VIROSEBI,VIRO,SEBI,LS001444,Virola,sebifera,Aubl.,Myristicaceae,,Nativa,A,0.416,Species,LaSelva-King&MullerLandau,Hammel 10623,,,
VISMMACR,VISM,MACR,LS000942,Vismia,macrophylla,Kunth,Hypericaceae,,Nativa,A,0.494,Species,SAmerTrop,B.Hammel 9830,,,
VITECOOP,VITE,COOP,LS001848,Vitex,cooperi,Standl.,Lamiaceae,,Nativa,A,0.553,Genus,SAmerTrop,Aguilar 7940,,,
VOCHFERR,VOCH,FERR,LS001861,Vochysia,ferruginea,Mart.,Vochysiaceae,,Nativa,A,0.37,Species,CostaRica-Malavass,Hammel 9226,,,
VOCHGUAT,VOCH,GUAT,LS001862,Vochysia,guatemalensis,Donn. Sm.,Vochysiaceae,Sin. Vochysia hondurensis Sprague,Nativa,A,0.333,Species,CAmerTrop,,,,MV
VOUAANOM,VOUA,ANOM,LS001734,Vouarana,anomala,(Steyerm.) Acev.-Rodr,Sapindaceae,,Nativa,A,0.84,Genus,SAmerTrop,B.Hammel 11109,,,
VOUASP,VOUA,SP,,Vouarana,,,Sapindaceae,,,A,0.84,Genus,SAmerTrop,,,,1 stem
WARSCOCC,WARS,COCC,LS001699,Warszewiczia,coccinea,(Vahl) Klotzsch,Rubiaceae,,Nativa,A,0.553,Species,LaSelva-MullerLandau,Hammel 8819,,,
WELFREGI,WELF,REGI,LS000324,Welfia,regia,H. Wendl. ex André,Arecaceae,Sin. W. georgii H. Wendl. ex Burret,Nativa,P,0.4,Species,LaSelva-Rich,T. Croat 44237,,,
XYLOBOCA,XYLO,BOCA,LS000730,Xylopia,bocatorena,Schery,Annonaceae,,Nativa,A,0.581,Genus,C&SAmerTrop,Aguilar 7615,M.H.Grayum&P.Sleeper6492 - Herb.Nac.CR,,lacks visible secondary veins;fleshy
XYLOSERI,XYLO,SERI,LS000731,Xylopia,sericophylla,Standl. & L. 0. Williams,Annonaceae,,Nativa,A,0.54,Species,CostaRica-Malavass,B.Hammel 8629,B.Hammel&J.Trainer12764 -Herb.Nac. CR; LS specimen,,
ZYGI627,ZYGI,627,,,,,Fabaceae,"MV (""Pithecellobium"") - Cojoba?",,A,0.723,Genus,SAmerTrop,,,,"MV (""Pithecellobium#627)"
ZYGIGIGA,ZYGI,GIGA,LS001099,Zygia,gigantifoliola,(Schery) L. Rico,Fabaceae,Sin. Pithecellobium gigantifoliolum (Schery) Jorge León,Nativa,A,0.723,Genus,SAmerTrop,Aguilar 7866,,,
